overall_accuracy_t1,balanced_accuracy_t1,fake_accuracy_t1,real_accuracy_t1,true_positive_rate_t1,false_positive_rate_t1,true_negative_rate_t1,false_negative_rate_t1,real_sharing_rate_t1,fake_sharing_rate_t1,share_given_judged_real_t1,share_given_judged_fake_t1,share_on_TN_t1,share_on_FP_t1,share_on_FN_t1,share_on_TP_t1,intervention_group,id,attrition,overall_accuracy_t2,balanced_accuracy_t2,fake_accuracy_t2,real_accuracy_t2,true_positive_rate_t2,false_positive_rate_t2,true_negative_rate_t2,false_negative_rate_t2,real_sharing_rate_t2,fake_sharing_rate_t2,share_given_judged_real_t2,share_given_judged_fake_t2,share_on_TN_t2,share_on_FP_t2,share_on_FN_t2,share_on_TP_t2
46.666666666666664,50.0,40.0,60.0,60.0,60.0,40.0,40.0,40.0,20.0,44.44444444444444,0.0,0.0,33.33333333333333,0.0,66.66666666666666,intervention_1,G1_P0071,0,53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,20.0,20.0,25.0,0.0,0.0,28.57142857142857,0.0,20.0
66.66666666666666,64.99999999999999,70.0,60.0,60.0,30.0,70.0,40.0,20.0,20.0,50.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,intervention_4,G1_P0072,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,80.0,20.0,85.71428571428571,0.0,0.0,100.0,0.0,80.0
66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0073,0,80.0,80.0,80.0,80.0,80.0,20.0,80.0,20.0,0.0,30.0,0.0,33.33333333333333,37.5,0.0,0.0,0.0
73.33333333333333,60.0,100.0,20.0,20.0,0.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0074,0,73.33333333333333,60.0,100.0,20.0,20.0,0.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0075,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.666666666666668,35.0,10.0,60.0,60.0,90.0,10.0,40.0,60.0,80.0,91.66666666666666,0.0,0.0,88.88888888888889,0.0,100.0,intervention_1,G1_P0076,0,66.66666666666666,64.99999999999999,70.0,60.0,60.0,30.0,70.0,40.0,40.0,20.0,66.66666666666666,0.0,0.0,66.66666666666666,0.0,66.66666666666666
53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0077,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.33333333333333,35.0,30.0,40.0,40.0,70.0,30.0,60.0,20.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,50.0,intervention_4,G1_P0078,0,60.0,70.0,40.0,100.0,100.0,60.0,40.0,0.0,40.0,30.0,45.45454545454545,0.0,0.0,50.0,0.0,40.0
53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_4,G1_P0079,0,66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,0.0,10.0,12.5,0.0,0.0,25.0,0.0,0.0
60.0,50.0,80.0,20.0,20.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0080,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,10.0,0.0,12.5,12.5,0.0,0.0,0.0
40.0,50.0,20.0,80.0,80.0,80.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0081,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.33333333333333,95.0,90.0,100.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0082,0,86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,10.0,14.285714285714285,0.0,0.0,50.0,0.0,0.0
73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_5,G1_P0083,0,80.0,85.0,70.0,100.0,100.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,65.0,50.0,80.0,80.0,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_1,G1_P0084,0,73.33333333333333,75.0,70.0,80.0,80.0,30.0,70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.66666666666667,90.0,80.0,100.0,100.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,control,G1_P0085,0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.076923076923077,26.666666666666668,20.0,33.33333333333333,33.33333333333333,80.0,20.0,66.66666666666666,0.0,40.0,44.44444444444444,0.0,0.0,50.0,0.0,0.0,intervention_4,G1_P0086,0,57.14285714285714,53.333333333333336,66.66666666666666,40.0,40.0,33.33333333333333,66.66666666666666,60.0,20.0,33.33333333333333,60.0,11.11111111111111,16.666666666666664,66.66666666666666,0.0,50.0
53.333333333333336,55.00000000000001,50.0,60.0,60.0,50.0,50.0,40.0,20.0,10.0,25.0,0.0,0.0,20.0,0.0,33.33333333333333,intervention_1,G1_P0088,0,40.0,44.99999999999999,30.0,60.0,60.0,70.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.333333333333336,65.0,30.0,100.0,100.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,intervention_2,G1_P0089,0,73.33333333333333,70.0,80.0,60.0,60.0,20.0,80.0,40.0,0.0,10.0,20.0,0.0,0.0,50.0,0.0,0.0
66.66666666666666,70.0,60.0,80.0,80.0,40.0,60.0,20.0,40.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,intervention_4,G1_P0090,0,73.33333333333333,80.0,60.0,100.0,100.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
