session_id,condition,session_started,page,entered_at,duration_ms,click_count
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-12,2026-06-30T21:00:41.262Z,3205,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-13,2026-06-30T21:00:44.467Z,2842,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-14,2026-06-30T21:00:47.309Z,2991,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-img-15,2026-06-30T21:00:50.300Z,3449,4
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,control-task-done,2026-06-30T21:00:53.750Z,2807,1
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,overview,2026-06-30T21:00:56.557Z,2949,1
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1,2026-06-30T21:00:59.506Z,12548,2
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-1,2026-06-30T21:01:12.055Z,3594,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-2,2026-06-30T21:01:15.650Z,3644,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-3,2026-06-30T21:01:19.295Z,5740,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-4,2026-06-30T21:01:25.035Z,3423,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-5,2026-06-30T21:01:28.458Z,2635,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-6,2026-06-30T21:01:31.093Z,2615,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-7,2026-06-30T21:01:33.708Z,2482,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-8,2026-06-30T21:01:36.190Z,2674,4
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-9,2026-06-30T21:01:38.864Z,2464,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-10,2026-06-30T21:01:41.328Z,3494,4
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-11,2026-06-30T21:01:44.822Z,2548,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-12,2026-06-30T21:01:47.370Z,3818,4
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-13,2026-06-30T21:01:51.188Z,3099,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-14,2026-06-30T21:01:54.288Z,2479,3
db4dbfd1-0f64-423a-b9ea-c7eac7c46140,demo,2026-06-30T13:59:27.023221,int1-task-img-15,2026-06-30T21:01:56.767Z,3093,3
